DealerID;RegionID;Citta;TierConcessionario
D001;R1;Barcellona;Silver
D002;R1;Barcellona;Gold
D003;R1;Lisbona;Platinum
D004;R1;Barcellona;Gold
D005;R1;Madrid;Platinum
D006;R1;Roma;Platinum
D007;R1;Milano;Gold
D008;R1;Atene;Silver
D009;R1;Madrid;Gold
D010;R1;Bologna;Platinum
D011;R1;Lisbona;Silver
D012;R1;Milano;Silver
D013;R1;Lione-Sud;Gold
D014;R1;Lisbona;Gold
D015;R1;Roma;Gold
D016;R1;Bologna;Gold
D017;R1;Roma;Gold
D018;R1;Bologna;Silver
D019;R1;Lione-Sud;Silver
D020;R1;Roma;Platinum
D021;R1;Bologna;Gold
D022;R1;Roma;Gold
D023;R1;Milano;Silver
D024;R1;Milano;Gold
D025;R1;Milano;Gold
D026;R1;Atene;Gold
D027;R1;Lisbona;Silver
D028;R1;Roma;Gold
D029;R1;Roma;Gold
D030;R1;Atene;Silver
D031;R1;Bologna;Platinum
D032;R1;Bologna;Platinum
D033;R1;Barcellona;Silver
D034;R1;Madrid;Silver
D035;R1;Lisbona;Gold
D036;R1;Lisbona;Silver
D037;R1;Madrid;Gold
D038;R1;Atene;Platinum
D039;R1;Atene;Silver
D040;R1;Milano;Gold
D041;R1;Roma;Silver
D042;R1;Milano;Gold
D043;R1;Atene;Silver
D044;R1;Bologna;Platinum
D045;R1;Madrid;Gold
D046;R1;Roma;Platinum
D047;R1;Lione-Sud;Silver
D048;R2;Birmingham;Platinum
D049;R2;Parigi;Gold
D050;R2;Anversa;Gold
D051;R2;Lille;Gold
D052;R2;Lille;Gold
D053;R2;Lille;Gold
D054;R2;Lille;Platinum
D055;R2;Birmingham;Platinum
D056;R2;Amburgo;Gold
D057;R2;Amburgo;Silver
D058;R2;Amburgo;Silver
D059;R2;Amburgo;Silver
D060;R2;Lille;Platinum
D061;R2;Birmingham;Silver
D062;R2;Lille;Platinum
D063;R2;Parigi;Platinum
D064;R2;Parigi;Gold
D065;R2;Rotterdam;Gold
D066;R2;Anversa;Gold
D067;R2;Birmingham;Silver
D068;R2;Lille;Gold
D069;R2;Lille;Platinum
D070;R2;Anversa;Silver
D071;R2;Amburgo;Gold
D072;R2;Lille;Silver
D073;R2;Lille;Gold
D074;R2;Rotterdam;Gold
D075;R2;Amburgo;Silver
D076;R2;Parigi;Gold
D077;R2;Birmingham;Gold
D078;R2;Parigi;Platinum
D079;R2;Rotterdam;Gold
D080;R2;Amburgo;Platinum
D081;R2;Amburgo;Silver
D082;R2;Rotterdam;Silver
D083;R2;Anversa;Gold
D084;R2;Amburgo;Gold
D085;R2;Parigi;Gold
D086;R2;Rotterdam;Silver
D087;R2;Parigi;Platinum
D088;R2;Anversa;Platinum
D089;R2;Parigi;Silver
D090;R2;Rotterdam;Platinum
D091;R2;Parigi;Platinum
D092;R2;Lille;Gold
D093;R3;Chicago;Silver
D094;R3;Monterrey;Silver
D095;R3;Dallas;Silver
D096;R3;Toronto;Gold
D097;R3;Monterrey;Gold
D098;R3;Chicago;Silver
D099;R3;San Paolo;Silver
D100;R3;Chicago;Silver
D101;R3;Atlanta;Platinum
D102;R3;Monterrey;Gold
D103;R3;Atlanta;Platinum
D104;R3;Chicago;Platinum
D105;R3;Monterrey;Platinum
D106;R3;Toronto;Silver
D107;R3;Monterrey;Gold
D108;R3;Monterrey;Silver
D109;R3;San Paolo;Gold
D110;R3;Atlanta;Platinum
D111;R3;Atlanta;Platinum
D112;R3;Atlanta;Platinum
D113;R3;Chicago;Gold
D114;R3;Monterrey;Platinum
D115;R3;Atlanta;Silver
D116;R3;San Paolo;Gold
D117;R3;Chicago;Gold
D118;R3;Dallas;Silver
D119;R3;Dallas;Gold
D120;R3;Toronto;Silver
D121;R3;San Paolo;Gold
D122;R3;Dallas;Gold
D123;R4;Shanghai;Gold
D124;R4;Shanghai;Gold
D125;R4;Sydney;Silver
D126;R4;Mumbai;Gold
D127;R4;Dubai;Gold
D128;R4;Sydney;Gold
D129;R4;Singapore;Silver
D130;R4;Dubai;Silver
D131;R4;Singapore;Gold
D132;R4;Dubai;Silver
D133;R4;Mumbai;Gold
D134;R4;Johannesburg;Gold
D135;R4;Dubai;Silver
D136;R4;Johannesburg;Gold
D137;R4;Singapore;Silver
D138;R4;Dubai;Silver
