SKU;FamilyID;Brand;CategoryID;PrezzoListino;MargineUnitario;ClasseABC;MoverClass;Critico_VOR;LeadTimeFornitore_gg
MLT-03-0325;MLT;Manitou;C03;743,69;0,303;A;Fast;1;14
LOAD-04-0781;LOAD;Gehl;C04;959,47;0,295;A;Fast;1;30
MLT-07-0311;MLT;Manitou;C07;429,44;0,207;A;Fast;0;5
LOAD-M-10-0819;LOAD-M;Mustang;C10;605,48;0,287;A;Fast;0;30
MT-07-0094;MT;Manitou;C07;532,99;0,167;A;Fast;1;3
AWP-02-0677;AWP;Manitou;C02;428,34;0,368;A;Fast;0;14
MI-MC-10-0481;MI-MC;Manitou;C10;482,95;0,364;A;Fast;0;10
LOAD-M-04-0852;LOAD-M;Mustang;C04;656,64;0,262;A;Fast;1;5
MRT-07-0380;MRT;Manitou;C07;531,37;0,205;A;Fast;1;3
MT-07-0054;MT;Manitou;C07;570,93;0,278;A;Fast;0;3
MLT-07-0222;MLT;Manitou;C07;316,66;0,171;A;Fast;0;14
MI-MC-02-0516;MI-MC;Manitou;C02;400,63;0,38;A;Fast;1;3
MI-MC-04-0482;MI-MC;Manitou;C04;574,47;0,358;A;Fast;0;7
AWP-04-0672;AWP;Manitou;C04;923,09;0,251;A;Fast;0;45
MRT-10-0393;MRT;Manitou;C10;483,6;0,389;A;Fast;1;3
MLT-10-0204;MLT;Manitou;C10;180,47;0,351;A;Fast;1;3
LOAD-05-0714;LOAD;Gehl;C05;230,75;0,394;A;Fast;1;21
MT-04-0052;MT;Manitou;C04;930,41;0,263;A;Fast;1;30
LOAD-04-0734;LOAD;Gehl;C04;700,02;0,28;A;Fast;1;21
AWP-03-0650;AWP;Manitou;C03;647,24;0,275;A;Fast;0;7
MLT-09-0340;MLT;Manitou;C09;354,96;0,408;A;Fast;0;7
MLT-06-0312;MLT;Manitou;C06;206,35;0,351;A;Fast;0;45
MRT-07-0453;MRT;Manitou;C07;551,1;0,187;A;Fast;0;30
MRT-04-0396;MRT;Manitou;C04;840,49;0,345;A;Fast;1;14
LOAD-07-0770;LOAD;Gehl;C07;548,77;0,191;A;Fast;0;7
TMM-04-0603;TMM;Manitou;C04;334,91;0,315;A;Fast;0;45
MLT-09-0276;MLT;Manitou;C09;262,4;0,392;A;Fast;0;45
LOAD-04-0748;LOAD;Gehl;C04;420,23;0,259;A;Fast;1;30
MI-MC-04-0534;MI-MC;Manitou;C04;909,58;0,27;A;Fast;0;14
TMM-04-0592;TMM;Manitou;C04;635,41;0,251;A;Fast;0;21
MI-MC-03-0458;MI-MC;Manitou;C03;359,92;0,267;A;Fast;0;30
LOAD-04-0727;LOAD;Gehl;C04;975,64;0,303;A;Fast;0;3
LOAD-03-0806;LOAD;Gehl;C03;717,42;0,278;A;Fast;0;45
LOAD-04-0746;LOAD;Gehl;C04;871,95;0,264;A;Fast;1;3
AWP-07-0686;AWP;Manitou;C07;437,86;0,193;A;Fast;1;5
MT-04-0154;MT;Manitou;C04;885,74;0,289;A;Fast;0;45
MLT-07-0262;MLT;Manitou;C07;373,13;0,193;A;Fast;0;45
MRT-04-0389;MRT;Manitou;C04;726,02;0,268;A;Fast;1;21
LOAD-M-04-0808;LOAD-M;Mustang;C04;733,64;0,252;A;Fast;1;3
MT-09-0184;MT;Manitou;C09;374,88;0,459;A;Fast;1;5
MLT-03-0291;MLT;Manitou;C03;723,73;0,343;A;Fast;0;45
