Anno;Voce;DivisioneRegione;Valore_MEUR;Nota
2024;Ricavi Gruppo;Totale;2654;-7% vs 2023
2025;Ricavi Gruppo;Totale;2564;-3.4% vs 2024
2024;Ricavi divisione Prodotti;Prodotti;2245;2.654 - 0.409 servizi
2025;Ricavi divisione Prodotti;Prodotti;2144;-4.6% vs 2024
2024;Ricavi Services & Solutions;Servizi;409;+3% vs 2023
2025;Ricavi Services & Solutions;Servizi;420;+2.8% vs 2024
2025;Order book attrezzature;Totale;1121;+3.4%
2025;Order intake;Totale;2181;piu che raddoppiato vs 2024
2025;Ricavi per regione;Southern Europe;908;35.4% del Gruppo
2025;Ricavi per regione;Northern Europe;864;33.7% del Gruppo
2025;Ricavi per regione;Americas;546;21.3% del Gruppo
2025;Ricavi per regione;APAM;246;9.6% del Gruppo
