AnnoMese;SKU;GiacenzaPezzi;SafetyStock;ReorderPoint;ValoreGiacenza;GiorniCopertura;FlagStockout;FlagDeadStock
2024-01;MLT-03-0325;35;30,4;49,4;18142,32;25,8;0;0
2024-02;MLT-03-0325;58;30,4;49,4;30064,41;42,7;0;0
2024-03;MLT-03-0325;57;30,4;49,4;29546,06;42,0;0;0
2024-04;MLT-03-0325;66;30,4;49,4;34211,23;48,6;0;0
2024-05;MLT-03-0325;50;30,4;49,4;25917,6;36,8;0;0
2024-06;MLT-03-0325;30;30,4;49,4;15550,56;22,1;0;0
2024-07;MLT-03-0325;21;30,4;49,4;10885,39;15,5;0;0
2024-08;MLT-03-0325;74;30,4;49,4;38358,04;54,5;0;0
2024-09;MLT-03-0325;0;30,4;49,4;0,0;0,0;1;0
2024-10;MLT-03-0325;35;30,4;49,4;18142,32;25,8;0;0
2024-11;MLT-03-0325;23;30,4;49,4;11922,09;16,9;0;0
2024-12;MLT-03-0325;51;30,4;49,4;26435,95;37,5;0;0
2025-01;MLT-03-0325;36;30,4;49,4;18660,67;26,5;0;0
2025-02;MLT-03-0325;38;30,4;49,4;19697,37;28,0;0;0
2025-03;MLT-03-0325;68;30,4;49,4;35247,93;50,1;0;0
2025-04;MLT-03-0325;35;30,4;49,4;18142,32;25,8;0;0
2025-05;MLT-03-0325;20;30,4;49,4;10367,04;14,7;0;0
2025-06;MLT-03-0325;73;30,4;49,4;37839,69;53,7;0;0
2025-07;MLT-03-0325;70;30,4;49,4;36284,64;51,5;0;0
2025-08;MLT-03-0325;79;30,4;49,4;40949,8;58,2;0;0
2025-09;MLT-03-0325;62;30,4;49,4;32137,82;45,6;0;0
2025-10;MLT-03-0325;31;30,4;49,4;16068,91;22,8;0;0
2025-11;MLT-03-0325;78;30,4;49,4;40431,45;57,4;0;0
2025-12;MLT-03-0325;39;30,4;49,4;20215,73;28,7;0;0
2024-01;LOAD-04-0781;50;28,4;46,2;33821,32;84,5;0;0
2024-02;LOAD-04-0781;20;28,4;46,2;13528,53;33,8;0;0
2024-03;LOAD-04-0781;31;28,4;46,2;20969,22;52,4;0;0
2024-04;LOAD-04-0781;56;28,4;46,2;37879,88;94,6;0;0
2024-05;LOAD-04-0781;61;28,4;46,2;41262,01;103,1;0;0
2024-06;LOAD-04-0781;46;28,4;46,2;31115,61;77,7;0;0
2024-07;LOAD-04-0781;74;28,4;46,2;50055,55;125,1;0;0
2024-08;LOAD-04-0781;44;28,4;46,2;29762,76;74,4;0;0
2024-09;LOAD-04-0781;0;28,4;46,2;0,0;0,0;1;0
2024-10;LOAD-04-0781;57;28,4;46,2;38556,3;96,3;0;0
2024-11;LOAD-04-0781;0;28,4;46,2;0,0;0,0;1;0
2024-12;LOAD-04-0781;7;28,4;46,2;4734,98;11,8;0;0
2025-01;LOAD-04-0781;36;28,4;46,2;24351,35;60,8;0;0
2025-02;LOAD-04-0781;58;28,4;46,2;39232,73;98,0;0;0
2025-03;LOAD-04-0781;58;28,4;46,2;39232,73;98,0;0;0
2025-04;LOAD-04-0781;39;28,4;46,2;26380,63;65,9;0;0
2025-05;LOAD-04-0781;54;28,4;46,2;36527,02;91,3;0;0
2025-06;LOAD-04-0781;16;28,4;46,2;10822,82;27,0;0;0
2025-07;LOAD-04-0781;101;28,4;46,2;68319,06;170,7;0;0
2025-08;LOAD-04-0781;40;28,4;46,2;27057,05;67,6;0;0
2025-09;LOAD-04-0781;42;28,4;46,2;28409,91;71,0;0;0
2025-10;LOAD-04-0781;40;28,4;46,2;27057,05;67,6;0;0
2025-11;LOAD-04-0781;72;28,4;46,2;48702,7;121,7;0;0
2025-12;LOAD-04-0781;49;28,4;46,2;33144,89;82,8;0;0
2024-01;MLT-07-0311;23;11,9;21,9;7832,56;11,6;0;0
2024-02;MLT-07-0311;17;11,9;21,9;5789,28;8,5;0;0
2024-03;MLT-07-0311;17;11,9;21,9;5789,28;8,5;0;0
2024-04;MLT-07-0311;23;11,9;21,9;7832,56;11,6;0;0
2024-05;MLT-07-0311;21;11,9;21,9;7151,46;10,6;0;0
2024-06;MLT-07-0311;22;11,9;21,9;7492,01;11,1;0;0
2024-07;MLT-07-0311;15;11,9;21,9;5108,19;7,5;0;0
2024-08;MLT-07-0311;33;11,9;21,9;11238,02;16,6;0;0
2024-09;MLT-07-0311;27;11,9;21,9;9194,74;13,6;0;0
2024-10;MLT-07-0311;40;11,9;21,9;13621,84;20,1;0;0
2024-11;MLT-07-0311;28;11,9;21,9;9535,29;14,1;0;0
2024-12;MLT-07-0311;24;11,9;21,9;8173,1;12,1;0;0
2025-01;MLT-07-0311;21;11,9;21,9;7151,46;10,6;0;0
2025-02;MLT-07-0311;33;11,9;21,9;11238,02;16,6;0;0
2025-03;MLT-07-0311;22;11,9;21,9;7492,01;11,1;0;0
2025-04;MLT-07-0311;11;11,9;21,9;3746,01;5,5;0;0
2025-05;MLT-07-0311;13;11,9;21,9;4427,1;6,5;0;0
2025-06;MLT-07-0311;0;11,9;21,9;0,0;0,0;1;0
2025-07;MLT-07-0311;36;11,9;21,9;12259,65;18,1;0;0
2025-08;MLT-07-0311;37;11,9;21,9;12600,2;18,6;0;0
2025-09;MLT-07-0311;7;11,9;21,9;2383,82;3,5;0;0
2025-10;MLT-07-0311;11;11,9;21,9;3746,01;5,5;0;0
2025-11;MLT-07-0311;13;11,9;21,9;4427,1;6,5;0;0
2025-12;MLT-07-0311;14;11,9;21,9;4767,64;7,0;0;0
2024-01;LOAD-M-10-0819;37;16,5;30,3;15973,17;80,5;0;0
2024-02;LOAD-M-10-0819;35;16,5;30,3;15109,75;76,1;0;0
2024-03;LOAD-M-10-0819;34;16,5;30,3;14678,05;74,0;0;0
2024-04;LOAD-M-10-0819;38;16,5;30,3;16404,88;82,7;0;0
2024-05;LOAD-M-10-0819;36;16,5;30,3;15541,46;78,3;0;0
2024-06;LOAD-M-10-0819;38;16,5;30,3;16404,88;82,7;0;0
2024-07;LOAD-M-10-0819;6;16,5;30,3;2590,24;13,1;0;0
2024-08;LOAD-M-10-0819;20;16,5;30,3;8634,14;43,5;0;0
2024-09;LOAD-M-10-0819;39;16,5;30,3;16836,58;84,8;0;0
2024-10;LOAD-M-10-0819;2;16,5;30,3;863,41;4,4;0;0
2024-11;LOAD-M-10-0819;51;16,5;30,3;22017,07;110,9;0;0
2024-12;LOAD-M-10-0819;49;16,5;30,3;21153,65;106,6;0;0
2025-01;LOAD-M-10-0819;32;16,5;30,3;13814,63;69,6;0;0
2025-02;LOAD-M-10-0819;35;16,5;30,3;15109,75;76,1;0;0
2025-03;LOAD-M-10-0819;25;16,5;30,3;10792,68;54,4;0;0
2025-04;LOAD-M-10-0819;49;16,5;30,3;21153,65;106,6;0;0
2025-05;LOAD-M-10-0819;40;16,5;30,3;17268,29;87,0;0;0
2025-06;LOAD-M-10-0819;33;16,5;30,3;14246,34;71,8;0;0
2025-07;LOAD-M-10-0819;7;16,5;30,3;3021,95;15,2;0;0
2025-08;LOAD-M-10-0819;47;16,5;30,3;20290,24;102,2;0;0
2025-09;LOAD-M-10-0819;17;16,5;30,3;7339,02;37,0;0;0
2025-10;LOAD-M-10-0819;39;16,5;30,3;16836,58;84,8;0;0
2025-11;LOAD-M-10-0819;25;16,5;30,3;10792,68;54,4;0;0
2025-12;LOAD-M-10-0819;35;16,5;30,3;15109,75;76,1;0;0
2024-01;MT-07-0094;18;6,2;10,1;7991,65;13,9;0;0
2024-02;MT-07-0094;2;6,2;10,1;887,96;1,5;0;0
2024-03;MT-07-0094;9;6,2;10,1;3995,83;6,9;0;0
2024-04;MT-07-0094;5;6,2;10,1;2219,9;3,9;0;0
2024-05;MT-07-0094;6;6,2;10,1;2663,88;4,6;0;0
2024-06;MT-07-0094;11;6,2;10,1;4883,79;8,5;0;0
2024-07;MT-07-0094;5;6,2;10,1;2219,9;3,9;0;0
2024-08;MT-07-0094;4;6,2;10,1;1775,92;3,1;0;0
2024-09;MT-07-0094;6;6,2;10,1;2663,88;4,6;0;0
2024-10;MT-07-0094;19;6,2;10,1;8435,63;14,7;0;0
2024-11;MT-07-0094;9;6,2;10,1;3995,83;6,9;0;0
2024-12;MT-07-0094;6;6,2;10,1;2663,88;4,6;0;0
2025-01;MT-07-0094;12;6,2;10,1;5327,77;9,3;0;0
2025-02;MT-07-0094;3;6,2;10,1;1331,94;2,3;0;0
2025-03;MT-07-0094;10;6,2;10,1;4439,81;7,7;0;0
