OrderLineID;Date;SKU;DealerID;RegionID;QtaOrdinata;QtaEvasa;PrezzoUnitario;RicavoRiga;CostoRiga;TipoOrdine;SLA_richiesto_gg;FlagStockout;FlagOTIF
1;2025-04-26;MT-07-0177;D023;R1;6;6;205,98;1235,88;1009,08;Stock;5;0;1
2;2025-05-25;MI-MC-05-0477;D071;R2;1;0;81,67;81,67;57,87;VOR;1;1;0
3;2024-07-30;MT-01-0127;D116;R3;6;6;70,56;423,36;245,34;Stock;3;0;1
4;2025-10-05;MLT-06-0312;D086;R2;3;3;200,16;600,48;401,76;Stock;2;0;1
5;2025-08-04;MI-MC-09-0538;D026;R1;3;3;76,57;229,71;147,96;Stock;5;0;1
6;2025-10-30;LOAD-M-06-0831;D136;R4;1;1;160,55;160,55;118,08;Stock;5;0;1
7;2024-12-11;MI-MC-06-0490;D082;R2;8;8;202,77;1622,16;1103,76;Stock;2;0;1
8;2024-06-26;MI-MC-03-0458;D081;R2;1;1;349,12;349,12;263,82;Stock;2;0;1
9;2025-05-08;MT-01-0145;D127;R4;1;1;73,99;73,99;48,61;Stock;3;0;1
10;2024-07-19;MI-MC-02-0461;D102;R3;1;1;396,58;396,58;269,5;VOR;1;0;1
11;2025-10-10;LOAD-M-06-0831;D059;R2;3;3;167,45;502,35;354,24;Stock;2;0;1
12;2025-05-14;MLT-04-0310;D019;R1;7;0;700,81;4905,67;3772,79;Stock;5;1;0
13;2024-07-03;MT-10-0060;D014;R1;2;2;285,09;570,18;423,66;Stock;2;0;1
14;2025-04-29;MT-10-0164;D073;R2;1;1;264,62;264,62;179,26;Stock;3;0;1
15;2024-08-02;MRT-10-0448;D087;R2;1;1;165,76;165,76;115,65;VOR;1;0;1
16;2025-06-03;MT-05-0074;D025;R1;1;1;101,16;101,16;73,09;Stock;2;0;1
17;2024-09-18;AWP-07-0686;D069;R2;1;0;385,32;385,32;353,35;VOR;1;1;0
18;2024-12-12;MI-MC-01-0511;D056;R2;1;1;25,22;25,22;15,7;Stock;3;0;1
19;2024-05-04;MLT-07-0209;D121;R3;1;1;354,38;354,38;274,74;Stock;2;0;1
20;2024-10-06;LOAD-M-10-0855;D105;R3;1;0;286,04;286,04;199,25;VOR;1;1;0
21;2025-09-04;LOAD-02-0710;D064;R2;1;1;394,7;394,7;266,95;Stock;3;0;1
22;2025-10-22;MT-01-0132;D088;R2;3;3;51,52;154,56;110,67;Stock;5;0;1
23;2024-10-15;MRT-03-0387;D027;R1;3;3;437,53;1312,59;990,54;VOR;1;0;1
24;2025-11-22;MT-03-0110;D074;R2;1;0;265,07;265,07;211,48;Stock;5;1;0
25;2024-11-19;AWP-04-0685;D119;R3;3;3;193,51;580,53;424,47;Stock;3;0;1
26;2025-02-02;MLT-08-0194;D123;R4;5;5;34,74;173,7;110,75;Stock;2;0;1
27;2024-03-06;MT-08-0130;D012;R1;2;2;23,64;47,28;25,24;Stock;5;0;1
28;2024-09-24;MLT-09-0341;D119;R3;2;0;223,37;446,74;275,72;Stock;3;1;0
29;2024-05-07;MRT-07-0452;D087;R2;4;4;364,79;1459,16;1314,88;Stock;2;0;1
30;2024-10-29;MLT-09-0276;D080;R2;7;7;230,91;1616,37;1116,78;Stock;3;0;1
31;2024-12-07;MT-04-0015;D003;R1;1;1;253,23;253,23;209,78;VOR;1;0;1
32;2025-07-15;LOAD-05-0728;D062;R2;1;0;90,32;90,32;68,67;Stock;3;1;0
33;2025-09-23;AWP-01-0680;D061;R2;3;3;61,22;183,66;106,2;Stock;5;0;1
34;2025-10-23;MT-01-0063;D022;R1;2;2;53,79;107,58;64,54;Stock;3;0;1
35;2025-06-03;MLT-01-0307;D031;R1;1;1;37,25;37,25;24,0;Stock;2;0;1
36;2025-11-04;LOAD-M-07-0829;D010;R1;1;1;179,26;179,26;170,09;Stock;5;0;1
37;2025-10-14;TMM-08-0589;D073;R2;1;1;30,89;30,89;19,47;Stock;5;0;1
38;2024-09-08;MT-01-0002;D029;R1;3;0;18,62;55,86;35,43;VOR;1;1;0
39;2024-01-16;MT-09-0180;D022;R1;26;26;163,15;4241,9;2545,14;VOR;1;0;1
40;2024-02-25;MRT-06-0399;D016;R1;1;1;73,43;73,43;53,61;Stock;2;0;1
41;2025-04-06;MT-02-0005;D068;R2;3;3;261,68;785,04;542,79;Stock;2;0;1
42;2025-02-22;LOAD-04-0750;D052;R2;2;2;656,53;1313,06;964,32;Stock;2;0;1
43;2024-04-29;MT-09-0106;D102;R3;1;1;118,24;118,24;72,47;Stock;3;0;1
44;2025-01-19;MT-07-0119;D013;R1;1;1;275,18;275,18;217,78;Stock;5;0;1
45;2024-06-04;MLT-06-0220;D031;R1;1;1;116,35;116,35;83,96;Stock;5;0;1
46;2024-02-12;MLT-09-0313;D130;R4;1;1;78,94;78,94;46,87;Stock;3;0;1
47;2025-08-13;AWP-04-0685;D051;R2;8;8;193,51;1548,08;1131,92;Stock;2;0;1
48;2025-07-13;MI-MC-01-0550;D028;R1;1;1;39,52;39,52;25,45;Stock;5;0;1
49;2024-03-28;MLT-06-0228;D110;R3;1;1;63,52;63,52;48,94;Stock;3;0;1
50;2025-08-17;MT-09-0090;D088;R2;3;3;125,89;377,67;233,91;Stock;5;0;1
51;2024-06-07;MLT-08-0208;D137;R4;1;1;41,69;41,69;26,0;Stock;2;0;1
52;2025-11-28;MLT-02-0337;D116;R3;3;3;116,15;348,45;243,9;Stock;3;0;1
53;2024-03-24;MLT-06-0312;D022;R1;2;2;191,91;383,82;267,84;VOR;1;0;1
54;2025-07-31;MRT-10-0376;D125;R4;1;1;168,54;168,54;125,62;Stock;5;0;1
55;2024-08-15;MT-08-0037;D047;R1;1;1;28,55;28,55;14,51;Stock;3;0;1
56;2025-08-13;MT-03-0033;D074;R2;14;14;155,29;2174,06;1568,56;Stock;3;0;1
57;2024-03-29;MRT-03-0387;D034;R1;1;1;437,53;437,53;330,18;VOR;1;0;1
58;2024-03-26;AWP-01-0692;D047;R1;1;1;49,69;49,69;31,1;Stock;2;0;1
59;2025-10-07;MT-03-0105;D057;R2;1;0;501,14;501,14;372,5;Stock;2;1;0
60;2025-02-12;MLT-06-0239;D061;R2;1;1;114,57;114,57;75,83;Stock;5;0;1
61;2025-03-27;MLT-07-0271;D009;R1;2;2;468,69;937,38;812,4;Stock;2;0;1
62;2024-04-20;MLT-02-0295;D116;R3;3;3;208,34;625,02;409,95;VOR;1;0;1
63;2025-09-01;MLT-06-0361;D054;R2;3;3;55,57;166,71;127,89;VOR;1;0;1
64;2025-12-13;MI-MC-09-0473;D046;R1;1;1;292,05;292,05;193,81;Stock;2;0;1
65;2025-09-28;MRT-03-0372;D103;R3;1;1;165,27;165,27;139,17;Stock;2;0;1
66;2024-07-07;MRT-05-0454;D034;R1;1;1;47,61;47,61;30,48;Stock;3;0;1
67;2024-08-08;MT-02-0159;D031;R1;3;3;141,48;424,44;335,7;Stock;2;0;1
68;2024-09-03;MRT-08-0419;D059;R2;1;1;49,42;49,42;30,21;VOR;1;0;1
69;2025-02-07;MT-09-0184;D092;R2;3;3;348,64;1045,92;608,43;Stock;5;0;1
70;2025-07-25;LOAD-M-08-0851;D042;R1;3;0;56,82;170,46;107,4;VOR;1;1;0
71;2025-09-06;MT-08-0139;D009;R1;2;2;39,33;78,66;45,68;Stock;3;0;1
72;2025-09-18;MLT-09-0334;D056;R2;5;5;329,95;1649,75;986,3;Stock;2;0;1
73;2024-03-17;MLT-09-0340;D081;R2;12;12;344,31;4131,72;2521,68;Stock;2;0;1
74;2024-02-08;MT-09-0170;D085;R2;1;0;116,53;116,53;78,19;VOR;1;1;0
75;2024-02-03;MLT-01-0332;D009;R1;3;3;56,39;169,17;98,4;Stock;5;0;1
76;2025-05-06;MLT-06-0361;D043;R1;1;1;61,26;61,26;42,63;VOR;1;0;0
77;2025-08-02;MT-01-0101;D006;R1;1;1;35,46;35,46;23,53;Stock;3;0;1
78;2025-07-31;LOAD-M-08-0859;D007;R1;4;4;60,09;240,36;131,56;Stock;2;0;1
79;2024-07-22;MI-MC-04-0551;D117;R3;1;1;783,97;783,97;632,24;VOR;1;0;1
80;2024-01-05;LOAD-06-0765;D007;R1;1;1;174,03;174,03;129,87;Stock;3;0;1
81;2025-04-05;MT-09-0184;D065;R2;1;1;348,64;348,64;202,81;VOR;1;0;1
82;2025-02-07;MT-04-0113;D081;R2;1;1;253,91;253,91;190,3;Stock;3;0;0
83;2024-04-21;MT-03-0189;D053;R2;4;0;671,81;2687,24;1898,4;VOR;1;1;0
84;2025-11-16;MLT-06-0281;D010;R1;1;0;161,66;161,66;106,73;VOR;1;1;0
85;2024-02-05;MT-01-0116;D104;R3;1;0;62,76;62,76;42,15;VOR;1;1;0
86;2024-03-14;MT-09-0162;D066;R2;1;1;289,57;289,57;192,43;Stock;2;0;1
87;2024-04-09;MLT-10-0335;D054;R2;2;2;392,82;785,64;591,02;Stock;3;0;1
88;2024-04-01;MRT-07-0380;D091;R2;1;1;467,61;467,61;422,44;Stock;2;0;1
89;2025-01-25;MT-05-0041;D050;R2;1;1;241,69;241,69;146,57;Stock;3;0;1
90;2024-06-02;MT-08-0155;D085;R2;6;6;54,14;324,84;183,72;Stock;3;0;1
91;2025-12-30;MLT-07-0268;D080;R2;1;1;226,84;226,84;205,7;Stock;2;0;1
92;2024-10-27;LOAD-04-0750;D009;R1;5;5;656,53;3282,65;2410,8;VOR;1;0;1
93;2025-01-26;MT-08-0175;D013;R1;3;3;11,57;34,71;21,6;Stock;3;0;1
94;2025-09-24;MLT-01-0259;D017;R1;1;1;69,37;69,37;42,14;Stock;3;0;1
95;2024-04-30;LOAD-05-0728;D101;R3;1;1;90,32;90,32;68,67;Stock;2;0;1
96;2025-04-26;LOAD-M-06-0831;D103;R3;1;1;151,91;151,91;118,08;Stock;5;0;1
97;2024-01-21;MT-08-0011;D028;R1;3;0;46,71;140,13;90,72;Stock;3;1;0
98;2024-10-27;MT-09-0184;D036;R1;3;3;363,63;1090,89;608,43;Stock;3;0;1
99;2024-03-23;MLT-10-0204;D041;R1;1;1;175,06;175,06;117,13;Stock;3;0;1
100;2025-03-22;MI-MC-10-0481;D058;R2;2;2;468,46;936,92;614,32;Stock;3;0;1
101;2024-01-26;MRT-01-0449;D012;R1;1;1;64,17;64,17;35,72;Stock;5;0;1
